AddressLine1,AddressLine2,AddressLine3,AddressLine4,BusinessName,BusinessType,BusinessTypeID,FHRSID,Lat,Lon,LABusinessID,LACode,LAEmail,LAName,LAWebsite,NewRatingPending,PostCode,RatingDate,Rating,ConfidenceInManagement,Hygiene,Structural,ExtractDate
Manor Gardens,Camelford,Cornwall,,Abbeyfield,Hospitals/Childcare/Caring Premises,5,402371,50.62408447,-4.677835464,E1_21674,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL32 9TB,5/31/2012,5,5,5,0,11/2/2016
8 Burn View,Bude,Cornwall,,Abbeyfield House,Hospitals/Childcare/Caring Premises,5,467886,50.83192,-4.544967,E1_17468,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,EX23 8BY,5/23/2014,5,5,0,5,11/2/2016
Abbeyfield House 8 Manley Terrace,Station Road,Liskeard,Cornwall,Abbeyfield Liskeard Society,Hospitals/Childcare/Caring Premises,5,463409,50.450402,-4.468037,E2_04_00036_MIXED,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL14 4DW,10/12/2015,5,5,5,5,11/2/2016
The Abbeytfield Saltash Society,40 - 42 Callington Road,Saltash,Cornwall,Abbeyfield Saltash,Hospitals/Childcare/Caring Premises,5,831082,50.410841,-4.221938,CP15_001030,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL12 6DY,11/19/2015,4,10,5,5,11/2/2016
Abelcare Menwinnion Ltd,Menwinnion Country House,Lamorna,Penzance,Ablecare Menwinnion,Hospitals/Childcare/Caring Premises,5,502504,50.065568,-5.575367,W1_10_10262_COM,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR19 6BJ,12/3/2015,5,0,0,0,11/2/2016
89 - 91 Acacia Road,Falmouth,Cornwall,,Acacia Stores,Retailers - other,4613,802164,50.158786,-5.088172,CP15_000889,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR11 2JZ,12/9/2015,5,,,,11/2/2016
Unit 3,Brunel Business Park,The Sidings,St Austell,Acorn Academy Cornwall Ltd,School/college/university,7845,813302,,,CP15_001006,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,9/15/2015,3,10,10,10,11/2/2016
Cornwall Alcohol And Drugs Agency,Chy Colom,Agar Road,Truro,Addaction Chy,Hospitals/Childcare/Caring Premises,5,766613,50.265515,-5.045492,CP15_000504,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR1 1JU,5/5/2015,3,10,10,5,11/2/2016
Penrose Court,Tolvaddon,Camborne,Cornwall,Adelaide Stores,Retailers - other,4613,557616,50.231935,-5.28561,CP13_000302,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR14 0EN,3/6/2015,4,10,5,5,11/2/2016
46 Chapel Street,Penzance,Cornwall,,Admiral Benbow,Pub/bar/nightclub,7843,554829,50.117316,-5.534619,W1_10_10425_COM,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR18 4AF,4/26/2016,5,5,5,5,11/2/2016
The Admiral Boscarn Hotel,Church End,East Looe,Looe,Admiral Boscarn,Pub/bar/nightclub,7843,402501,50.352823,-4.452104,E2_04_00124_MIXED,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL13 1BU,8/17/2016,3,10,10,10,11/2/2016
Adrenalin Quarry Food,Lower Clicker Road,Menheniot,Liskeard,Adrenalin Quarry Ltd,Restaurant/Cafe/Canteen,1,510778,50.424747,-4.409412,CP13_000113,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL14 3PJ,10/29/2015,5,5,5,5,11/2/2016
Belle Vue,Bude,Cornwall,,Adventure International,Restaurant/Cafe/Canteen,1,439011,50.830326,-4.545846,E1_50710,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,EX23 8JP,10/17/2016,5,5,0,5,11/2/2016
Affordable Foods Bude,Unit 4,Old Parish Hall,Belle Vue Lane,Affordable Foods,Retailers - other,4613,893190,50.830219,-4.544548,CP16_000346,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,EX23 8BR,6/7/2016,5,5,5,5,11/2/2016
,,,,Afro-Caribbean Pot - Home Caterer,Other catering premises,7841,578003,,,CP11_000878,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,1/27/2015,5,5,5,5,11/2/2016
Afternoon Tea Time At,Quickstore Eden House,Morrlands Trading Estate,Forge Lane,Afternoon Tea Time,Mobile caterer,7846,783793,50.417687,-4.237828,CP15_000583,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL12 6LX,8/3/2015,5,5,5,5,11/2/2016
67 Fore Street,Bodmin,Cornwall,,Aga's Polish Shop,Retailers - other,4613,537642,50.471525,-4.722619,CP13_000182,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL31 2JB,11/5/2014,4,5,10,5,11/2/2016
Newquay Day Care Centre,Crantock Street,Newquay,Cornwall,Age Concern,Other catering premises,7841,402148,50.413257,-5.088187,C2_243893,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR7 1JR,10/13/2015,5,5,5,0,11/2/2016
St Just Recreation Centre,Fore Street,St Just,Penzance,Age Concern St Just & Pendeen,Other catering premises,7841,457628,50.121204,-5.677775,W1_10_10337_COM,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR19 7QX,10/22/2012,Exempt,,,,11/2/2016
Age Concern,Truro Day Centre,St Clement Street,Truro,Age UK,Other catering premises,7841,402321,50.264907,-5.049145,CP12_000512,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR1 1EQ,5/11/2016,5,5,5,5,11/2/2016
Killigrew Day Centre,Killigrew Street,Falmouth,Cornwall,Age UK,Other catering premises,7841,467863,50.151051,-5.077943,C1_PI_000007707,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR11 3QP,1/20/2016,5,5,5,5,11/2/2016
Hawkins Battery Holiday Park,St Andrews Place,Cawsand,Torpoint,Ahoy Fish And Chips,Mobile caterer,7846,800758,50.343014,-4.181608,CP15_000404,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL10 1JB,8/13/2015,5,5,5,5,11/2/2016
,,,,Ahoy! Fish And Chips,Mobile caterer,7846,591577,,,CP13_000865,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,10/3/2013,5,5,5,5,11/2/2016
H M S Raleigh,Trevol Road,Torpoint,Torpoint,Ajax Senior Rates Mess - ESS,Restaurant/Cafe/Canteen,1,534512,50.37403,-4.223228,E2_04_00679_FOOD,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL11 2PD,12/11/2014,5,0,0,5,11/2/2016
AJs,37 High Lanes,Hayle,Cornwall,AJ's,Mobile caterer,7846,402657,50.185777,-5.407826,W1_10_11582_COM,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR27 4AW,8/11/2015,5,5,5,5,11/2/2016
Parka Road,St Columb Road,St Columb,Cornwall,AJs Eats And Treats,Takeaway/sandwich shop,7844,905969,50.394856,-4.939893,CP16_000624,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR9 6PG,8/30/2016,5,5,0,5,11/2/2016
,,,,Alex Burnhill - Home Caterer,Other catering premises,7841,655173,,,CP14_000098,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,4/8/2014,3,10,10,10,11/2/2016
Alexandra Road,Penzance,Cornwall,,Alexandra Inn,Pub/bar/nightclub,7843,658791,50.114036,-5.543919,CP14_000312,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR18 4LY,6/17/2016,4,5,10,5,11/2/2016
Grampound Road Cricket Club,South Street,Grampound Road,Cornwall,Alfredo Linguini,Restaurant/Cafe/Canteen,1,875282,50.317407,-4.93022,CP16_000282,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR2 4DU,5/19/2016,5,5,5,5,11/2/2016
60 Bank Street,Newquay,Cornwall,,Alfresco,Restaurant/Cafe/Canteen,1,438884,50.413507,-5.08353,C2_253995,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR7 1AX,9/19/2016,5,5,5,5,11/2/2016
37 Cross Street,Camborne,Cornwall,,Algarve Delicacies,Restaurant/Cafe/Canteen,1,780610,50.212024,-5.299016,CP15_000677,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR14 8ES,7/8/2015,4,5,5,10,11/2/2016
,,,,Alice In Burger Land,Mobile caterer,7846,554815,,,E1_43602,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,11/26/2014,5,5,5,5,11/2/2016
Accomodation At,Alis Indian Cafe,23 Fore Street,Torpoint,Ali's Indian Cafe,Restaurant/Cafe/Canteen,1,455233,50.375527,-4.195083,E2_04_00221_MIXED,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL11 2AD,3/26/2015,2,10,10,15,11/2/2016
Kathellen,St Wenn,Bodmin,Cornwall,Ali's Summer Snack Shack,Restaurant/Cafe/Canteen,1,682721,50.472204,-4.870201,CP14_000619,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL30 5PL,7/5/2016,4,5,5,10,11/2/2016
,,,,Alison Gribble - Home Caterer,Other catering premises,7841,606229,,,CP13_001316,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,5/26/2015,4,5,10,5,11/2/2016
,,,,Alison's Home Baking,Other catering premises,7841,547108,,,CP13_000493,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,10/13/2014,5,5,5,5,11/2/2016
,,,,Alli's,Other catering premises,7841,900414,,,CP16_000170,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,8/15/2016,5,5,0,0,11/2/2016
Altarnun Community Primary School,Five Lanes,Altarnun,Launceston,Altarnun CP School,School/college/university,7845,609793,50.600589,-4.507786,CP13_000923,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL15 7RZ,11/26/2015,5,0,0,0,11/2/2016
30 Alverton Street,Penzance,Cornwall,,Alverne Restaurant,Restaurant/Cafe/Canteen,1,459839,50.118712,-5.538695,CP12_001229,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR18 2QN,4/28/2015,5,5,5,5,11/2/2016
Alverton Day Nursery Ltd,Toltuff Crescent,Penzance,Cornwall,Alverton Day Nursery,Hospitals/Childcare/Caring Premises,5,402659,50.113922,-5.547968,W1_10_11684_COM,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR18 4QD,11/24/2015,5,5,5,5,11/2/2016
Alverton Kebab And Fried Chicken,8 Alverton Street,Penzance,Cornwall,Alverton Kebab & Fried Chicken,Takeaway/sandwich shop,7844,623911,50.118367,-5.538796,W1_10_11088_COM,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR18 2QW,5/1/2015,5,5,5,5,11/2/2016
Tregolls Road,Truro,Cornwall,,Alverton Manor Hotel,Hotel/bed & breakfast/guest house,7842,576246,50.266336,-5.044044,CP12_000544,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR1 1ZQ,7/6/2016,3,5,10,10,11/2/2016
Alverton County Primary School,Toltuff Crescent,Penzance,Cornwall,Alverton Primary School,School/college/university,7845,900651,50.113921,-5.547967,CP16_000548,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR18 4QD,9/20/2016,5,5,5,5,11/2/2016
Judes,5 East Wharf,Mevagissey,St. Austell,Alvorada,Restaurant/Cafe/Canteen,1,534500,50.270353,-4.786558,CP13_000327,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL26 6QH,9/14/2016,5,5,5,5,11/2/2016
,,,,Amanda Lewis - Home Caterer,Other catering premises,7841,438921,,,CP12_000521,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,8/17/2012,4,10,5,5,11/2/2016
Amanzi,38 Arwenack Street,Falmouth,Cornwall,Amanzi Restaurant,Restaurant/Cafe/Canteen,1,606228,50.152526,-5.066095,CP13_001315,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR11 3JF,7/31/2015,5,5,5,5,11/2/2016
PC Cafe,Penryn Campus,Penryn,Cornwall,Amata Cafe,Restaurant/Cafe/Canteen,1,738895,,,CP15_000189,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR10 9FE,2/17/2015,5,5,5,5,11/2/2016
Dove Care Homes Ltd,Amberley House Nursing Home,The Crescent,Truro,Amberley House,Hospitals/Childcare/Caring Premises,5,402305,50.262884,-5.064115,CP12_000436,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR1 3ES,1/5/2016,5,5,5,5,11/2/2016
Breageside Quay,Mount Pleasant Road,Porthleven,Helston,Amelies @ The Smokehouse,Restaurant/Cafe/Canteen,1,537663,50.083087,-5.318041,W2_10_00078_CP,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR13 9JS,10/15/2014,5,5,5,5,11/2/2016
,,,,American Diner,Mobile caterer,7846,536166,,,CP13_000214,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,11/4/2014,5,5,5,5,11/2/2016
Amity Tandoori Cuisine,5 Higher Fore Street,Redruth,Cornwall,Amity Tandoori,Restaurant/Cafe/Canteen,1,457639,50.234401,-5.224965,W2_00025308,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR15 2AJ,6/16/2015,5,5,5,5,11/2/2016
Hartland Hotel,Hartland Terrace,Bude,Cornwall,An Mor Hotel,Hotel/bed & breakfast/guest house,7842,839351,50.8309,-4.545934,CP15_000983,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,EX23 8JY,12/22/2015,5,5,5,5,11/2/2016
Morrells Bistro,1 - 2 Higher Market Street,East Looe,Looe,Ancient Mariner,Restaurant/Cafe/Canteen,1,816944,50.353317,-4.453381,CP15_000418,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL13 1BW,11/5/2015,5,5,5,5,11/2/2016
15 East Street,Newquay,Cornwall,,Andys Cafe,Restaurant/Cafe/Canteen,1,402172,50.414189,-5.080857,C2_253627,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR7 1DN,9/16/2016,4,5,5,10,11/2/2016
The Angarrack Inn,12 Steamers Hill,Angarrack,Hayle,Angarrack Inn,Pub/bar/nightclub,7843,754447,50.195042,-5.385152,CP15_000412,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR27 5JB,3/30/2016,4,5,5,10,11/2/2016
Anns Pasties,Unit 18,Tresprison Business Park,Tresprison,Angegyn - Annes Pasties,Retailers - other,4613,633753,50.099364,-5.257656,CP13_001187,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR13 0QD,8/26/2015,5,5,5,5,11/2/2016
1 St Marys Mews,St Marys Street,Truro,Cornwall,Angelato,Retailers - other,4613,580123,50.263822,-5.049679,CP13_000669,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR1 2BE,2/18/2015,5,5,5,5,11/2/2016
1 Southgate Place,Madford Lane,Launceston,Cornwall,Angels Bar,Restaurant/Cafe/Canteen,1,502486,50.63655,-4.359289,E1_60318,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL15 9DX,1/19/2015,5,5,5,5,11/2/2016
,,,,Angels In The Kitchen,Other catering premises,7841,853282,,,CP16_000102,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,3/3/2016,5,5,5,5,11/2/2016
,,,,Angie's Cornish Cartering - Home Caterer,Other catering premises,7841,691906,,,CP14_000814,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,2/9/2016,5,5,5,5,11/2/2016
Angies Pantry At,Millennium House,Princess Road,Pensilva,Angie's Pantry,Restaurant/Cafe/Canteen,1,780619,50.503539,-4.408541,CP15_000764,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL14 5NF,6/21/2016,3,10,10,10,11/2/2016
2 The Parade,Helston,Cornwall,,Anglo Asia,Takeaway/sandwich shop,7844,482259,50.09931,-5.271722,W2_00011084,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR13 8RT,11/19/2015,5,5,5,5,11/2/2016
Harbour Moon Inn,Quay Road,West Looe,Looe,Anglo Welsh Associates,Pub/bar/nightclub,7843,846972,50.354958,-4.4566,CP15_001037,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL13 2BU,5/4/2016,3,,,,11/2/2016
,,,,Anna Parnell Cakes - Home Caterer,Other catering premises,7841,537655,,,CP13_000427,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,4/17/2013,4,10,5,5,11/2/2016
Enys House,Enys Hill,St Gluvias,Penryn,Annie's Kitchen,Restaurant/Cafe/Canteen,1,759045,50.187467,-5.097196,CP15_000358,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR10 9LD,4/14/2015,4,10,5,5,11/2/2016
11 Fore Street,Callington,Cornwall,,Annies Tearoom,Restaurant/Cafe/Canteen,1,481069,50.502786,-4.314493,CP12_001050,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL17 7AA,5/5/2016,5,5,5,5,11/2/2016
Unit 8A,Long Rock Industrial Estate,Long Rock,Penzance,Annsome Cakes,Takeaway/sandwich shop,7844,591573,50.12974,-5.505291,CP13_000547,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR20 8HX,10/6/2016,4,5,10,5,11/2/2016
,,,,Ansum Pizza Co.,Mobile caterer,7846,900409,,,CP16_000161,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,8/12/2016,5,5,5,5,11/2/2016
6 - 7 Chapel Terrace,Hayle,Cornwall,,Antoninis,Restaurant/Cafe/Canteen,1,502456,50.184305,-5.420261,CP12_001111,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR27 4AB,7/18/2016,5,5,5,5,11/2/2016
Antony C E V A Junior And Infant Sc,Antony,Torpoint,Cornwall,Antony C Of E School,School/college/university,7845,621413,50.366504,-4.250213,E2_04_00774_FOOD,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL11 3AD,7/8/2015,5,0,0,5,11/2/2016
Post Office,Abbotscourt Lane,Antony,Torpoint,Antony Community And Farm Shop,Retailers - other,4613,586921,50.370163,-4.251215,CP11_000887,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL11 3AB,9/12/2013,5,5,5,0,11/2/2016
Ferry Lane,Wilcove,Torpoint,Cornwall,Antony House,Restaurant/Cafe/Canteen,1,536180,50.385299,-4.226582,E2_04_00485_MIXED,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL11 2QA,3/30/2016,4,5,5,10,11/2/2016
Antron Hill,Mabe Burnthouse,Penryn,Cornwall,Antron Manor Care Home,Hospitals/Childcare/Caring Premises,5,691925,50.164472,-5.137092,W2_00003838,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR10 9HH,11/26/2014,5,5,5,5,11/2/2016
Torpoint AFC,Mill Lane,Torpoint,Cornwall,Any Occasions Catering,Restaurant/Cafe/Canteen,1,591615,,,E2_10_00141_FOOD,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,6/5/2015,5,5,5,5,11/2/2016
Anytime Anywhere Caterers,Badharlick Farm,Egloskerry,Launceston,"Anytime, Anywhere",Other catering premises,7841,571221,50.649804,-4.459844,E1_24242,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL15 8SU,12/9/2014,5,5,5,5,11/2/2016
Top Ten Bingo,24 - 26 Chapel Street,Camborne,Cornwall,Apollo Bingo,Pub/bar/nightclub,7843,402721,50.213075,-5.299383,W2_00004395,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR14 8ED,12/1/2014,5,5,5,5,11/2/2016
Appletree Cafe,Trevescan,Sennen,Penzance,Apple Tree Cafe,Restaurant/Cafe/Canteen,1,879081,50.064924,-5.696302,CP16_000369,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR19 7AQ,6/6/2016,5,5,5,5,11/2/2016
157 Launceston Road,Callington,Cornwall,,Appleby Lodge Residential Home,Hospitals/Childcare/Caring Premises,5,467905,50.520827,-4.316843,E2_04_01635_MIXED,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL17 8DU,11/24/2015,5,5,5,5,11/2/2016
